Datetime,Open,High,Low,Close,Adj Close,Volume
2024-04-22 09:30:00-04:00,165.75,165.92,165.49,165.67,165.67,1796802
2024-04-22 09:31:00-04:00,165.67,165.67,165.34,165.45,165.45,236396
2024-04-22 09:32:00-04:00,165.47,165.65,165.32,165.60,165.60,180353
2024-04-22 09:33:00-04:00,165.62,165.77,165.59,165.74,165.74,156640
2024-04-22 09:34:00-04:00,165.73,165.98,165.72,165.96,165.96,246591
2024-04-22 09:35:00-04:00,165.97,166.08,165.81,165.84,165.84,275207
2024-04-22 09:36:00-04:00,165.84,166.11,165.83,166.05,166.05,199003
2024-04-22 09:37:00-04:00,166.05,166.10,165.85,165.91,165.91,171492
2024-04-22 09:38:00-04:00,165.96,166.23,165.95,166.01,166.01,160764
2024-04-22 09:39:00-04:00,166.01,166.08,165.86,165.95,165.95,170307
2024-04-22 09:40:00-04:00,165.95,165.99,165.89,165.94,165.94,191480
2024-04-22 09:41:00-04:00,165.94,165.96,165.77,165.78,165.78,181919
2024-04-22 09:42:00-04:00,165.78,165.98,165.61,165.70,165.70,228890
2024-04-22 09:43:00-04:00,165.70,165.74,165.50,165.57,165.57,173039
2024-04-22 09:44:00-04:00,165.57,165.64,165.46,165.55,165.55,134296
2024-04-22 09:45:00-04:00,165.56,165.56,165.41,165.55,165.55,142153
2024-04-22 09:46:00-04:00,165.55,165.71,165.54,165.70,165.70,161965
2024-04-22 09:47:00-04:00,165.68,165.69,165.48,165.50,165.50,110611
2024-04-22 09:48:00-04:00,165.52,165.75,165.49,165.71,165.71,156175
2024-04-22 09:49:00-04:00,165.71,165.75,165.66,165.70,165.70,169682
2024-04-22 09:50:00-04:00,165.71,165.71,165.59,165.65,165.65,120476
2024-04-22 09:51:00-04:00,165.67,165.77,165.58,165.61,165.61,142556
2024-04-22 09:52:00-04:00,165.62,165.64,165.53,165.57,165.57,106085
2024-04-22 09:53:00-04:00,165.58,165.69,165.56,165.57,165.57,79296
2024-04-22 09:54:00-04:00,165.57,165.69,165.57,165.63,165.63,90682
2024-04-22 09:55:00-04:00,165.61,165.65,165.56,165.64,165.64,105662
2024-04-22 09:56:00-04:00,165.65,165.78,165.63,165.71,165.71,148993
2024-04-22 09:57:00-04:00,165.71,165.85,165.66,165.80,165.80,186691
2024-04-22 09:58:00-04:00,165.80,165.93,165.77,165.85,165.85,171051
2024-04-22 09:59:00-04:00,165.85,165.98,165.85,165.85,165.85,178281
2024-04-22 10:00:00-04:00,165.84,166.03,165.82,165.84,165.84,226582
2024-04-22 10:01:00-04:00,165.84,165.92,165.82,165.92,165.92,148344
2024-04-22 10:02:00-04:00,165.91,165.96,165.68,165.70,165.70,98779
2024-04-22 10:03:00-04:00,165.70,165.72,165.59,165.62,165.62,117171
2024-04-22 10:04:00-04:00,165.62,165.63,165.51,165.55,165.55,96207
2024-04-22 10:05:00-04:00,165.55,165.82,165.54,165.75,165.75,129206
2024-04-22 10:06:00-04:00,165.75,165.84,165.63,165.65,165.65,94667
2024-04-22 10:07:00-04:00,165.64,165.74,165.62,165.72,165.72,68559
2024-04-22 10:08:00-04:00,165.73,165.73,165.51,165.54,165.54,102325
2024-04-22 10:09:00-04:00,165.59,165.59,165.44,165.57,165.57,148466
2024-04-22 10:10:00-04:00,165.57,165.59,165.51,165.55,165.55,107944
2024-04-22 10:11:00-04:00,165.56,165.58,165.51,165.57,165.57,57653
2024-04-22 10:12:00-04:00,165.58,165.58,165.52,165.55,165.55,67690
2024-04-22 10:13:00-04:00,165.55,165.60,165.53,165.60,165.60,102901
2024-04-22 10:14:00-04:00,165.60,165.61,165.47,165.52,165.52,101145
2024-04-22 10:15:00-04:00,165.53,165.56,165.49,165.55,165.55,70878
2024-04-22 10:16:00-04:00,165.55,165.60,165.49,165.60,165.60,74911
2024-04-22 10:17:00-04:00,165.61,165.61,165.50,165.58,165.58,94698
2024-04-22 10:18:00-04:00,165.57,165.60,165.51,165.54,165.54,68068
2024-04-22 10:19:00-04:00,165.54,165.56,165.44,165.46,165.46,100793
2024-04-22 10:20:00-04:00,165.45,165.51,165.42,165.46,165.46,107804
2024-04-22 10:21:00-04:00,165.45,165.45,165.23,165.36,165.36,148930
2024-04-22 10:22:00-04:00,165.36,165.51,165.32,165.51,165.51,118228
2024-04-22 10:23:00-04:00,165.51,165.53,165.28,165.33,165.33,149037
2024-04-22 10:24:00-04:00,165.34,165.52,165.33,165.46,165.46,93754
2024-04-22 10:25:00-04:00,165.46,165.54,165.42,165.47,165.47,115238
2024-04-22 10:26:00-04:00,165.46,165.53,165.41,165.52,165.52,74418
2024-04-22 10:27:00-04:00,165.53,165.56,165.47,165.50,165.50,99898
2024-04-22 10:28:00-04:00,165.49,165.54,165.44,165.48,165.48,86972
2024-04-22 10:29:00-04:00,165.47,165.47,165.28,165.37,165.37,108825
2024-04-22 10:30:00-04:00,165.37,165.43,165.35,165.39,165.39,76338
2024-04-22 10:31:00-04:00,165.38,165.45,165.38,165.45,165.45,68945
2024-04-22 10:32:00-04:00,165.45,165.49,165.38,165.42,165.42,51845
2024-04-22 10:33:00-04:00,165.42,165.44,165.37,165.38,165.38,54804
2024-04-22 10:34:00-04:00,165.38,165.49,165.38,165.48,165.48,61763
2024-04-22 10:35:00-04:00,165.48,165.50,165.38,165.38,165.38,74748
2024-04-22 10:36:00-04:00,165.38,165.38,165.32,165.35,165.35,94874
2024-04-22 10:37:00-04:00,165.35,165.37,165.30,165.36,165.36,67373
2024-04-22 10:38:00-04:00,165.36,165.37,165.00,165.00,165.00,73689
2024-04-22 10:39:00-04:00,165.37,165.49,165.36,165.46,165.46,77869
2024-04-22 10:40:00-04:00,165.46,165.48,165.42,165.42,165.42,64619
2024-04-22 10:41:00-04:00,165.41,165.43,165.34,165.43,165.43,61970
2024-04-22 10:42:00-04:00,165.44,165.48,165.42,165.46,165.46,73255
2024-04-22 10:43:00-04:00,165.47,165.51,165.44,165.51,165.51,67292
2024-04-22 10:44:00-04:00,165.51,165.54,165.50,165.52,165.52,85864
2024-04-22 10:45:00-04:00,165.52,165.54,165.47,165.51,165.51,64028
2024-04-22 10:46:00-04:00,165.51,165.54,165.49,165.54,165.54,56964
2024-04-22 10:47:00-04:00,165.54,165.54,165.48,165.48,165.48,58032
2024-04-22 10:48:00-04:00,165.47,165.48,165.37,165.37,165.37,74225
2024-04-22 10:49:00-04:00,165.38,165.39,165.31,165.38,165.38,50002
2024-04-22 10:50:00-04:00,165.38,165.38,165.25,165.25,165.25,99363
2024-04-22 10:51:00-04:00,165.25,165.26,165.15,165.20,165.20,96507
2024-04-22 10:52:00-04:00,165.21,165.26,165.19,165.23,165.23,65645
2024-04-22 10:53:00-04:00,165.22,165.29,165.19,165.20,165.20,83370
2024-04-22 10:54:00-04:00,165.19,165.25,165.13,165.20,165.20,129647
2024-04-22 10:55:00-04:00,165.20,165.23,165.16,165.18,165.18,57611
2024-04-22 10:56:00-04:00,165.19,165.21,165.10,165.12,165.12,57246
2024-04-22 10:57:00-04:00,165.13,165.18,165.13,165.16,165.16,51280
2024-04-22 10:58:00-04:00,165.16,165.20,165.15,165.16,165.16,61523
2024-04-22 10:59:00-04:00,165.17,165.24,165.16,165.23,165.23,84783
2024-04-22 11:00:00-04:00,165.22,165.22,165.15,165.19,165.19,49748
2024-04-22 11:01:00-04:00,165.20,165.20,165.13,165.17,165.17,98501
2024-04-22 11:02:00-04:00,165.18,165.20,165.07,165.07,165.07,98928
2024-04-22 11:03:00-04:00,165.08,165.08,164.95,165.02,165.02,207603
2024-04-22 11:04:00-04:00,165.02,165.14,165.01,165.12,165.12,88872
2024-04-22 11:05:00-04:00,165.11,165.14,165.05,165.12,165.12,70198
2024-04-22 11:06:00-04:00,165.12,165.23,165.12,165.22,165.22,74062
2024-04-22 11:07:00-04:00,165.22,165.24,165.14,165.15,165.15,78194
2024-04-22 11:08:00-04:00,165.14,165.19,165.10,165.12,165.12,64083
2024-04-22 11:09:00-04:00,165.12,165.21,165.09,165.19,165.19,89420
2024-04-22 11:10:00-04:00,165.20,165.23,165.06,165.13,165.13,131971
2024-04-22 11:11:00-04:00,165.13,165.13,164.97,165.04,165.04,94509
2024-04-22 11:12:00-04:00,165.04,165.18,164.99,164.99,164.99,100012
2024-04-22 11:13:00-04:00,164.98,164.99,164.87,164.88,164.88,124778
2024-04-22 11:14:00-04:00,164.87,164.93,164.85,164.86,164.86,103978
2024-04-22 11:15:00-04:00,164.85,164.87,164.77,164.82,164.82,181805
2024-04-22 11:16:00-04:00,164.81,164.98,164.79,164.98,164.98,130274
2024-04-22 11:17:00-04:00,164.98,165.15,164.96,165.13,165.13,93949
2024-04-22 11:18:00-04:00,165.14,165.19,165.10,165.18,165.18,65808
2024-04-22 11:19:00-04:00,165.18,165.21,165.03,165.04,165.04,73371
2024-04-22 11:20:00-04:00,165.04,165.13,165.04,165.12,165.12,63326
2024-04-22 11:21:00-04:00,165.12,165.13,165.02,165.07,165.07,74345
2024-04-22 11:22:00-04:00,165.08,165.20,165.08,165.20,165.20,73859
2024-04-22 11:23:00-04:00,165.20,165.24,165.18,165.20,165.20,60989
2024-04-22 11:24:00-04:00,165.20,165.28,165.20,165.24,165.24,81146
2024-04-22 11:25:00-04:00,165.24,165.43,165.23,165.37,165.37,153377
2024-04-22 11:26:00-04:00,165.37,165.37,165.27,165.35,165.35,68225
2024-04-22 11:27:00-04:00,165.35,165.37,165.29,165.30,165.30,61774
2024-04-22 11:28:00-04:00,165.29,165.43,165.29,165.40,165.40,54310
2024-04-22 11:29:00-04:00,165.40,165.48,165.38,165.40,165.40,82814
2024-04-22 11:30:00-04:00,165.40,165.50,165.38,165.45,165.45,103030
2024-04-22 11:31:00-04:00,165.46,165.50,165.41,165.42,165.42,55547
2024-04-22 11:32:00-04:00,165.43,165.46,165.37,165.40,165.40,64519
2024-04-22 11:33:00-04:00,165.41,165.49,165.41,165.43,165.43,77361
2024-04-22 11:34:00-04:00,165.43,165.52,165.43,165.48,165.48,87590
2024-04-22 11:35:00-04:00,165.46,165.51,165.45,165.50,165.50,46339
2024-04-22 11:36:00-04:00,165.50,165.57,165.49,165.51,165.51,84927
2024-04-22 11:37:00-04:00,165.51,165.56,165.49,165.54,165.54,39850
2024-04-22 11:38:00-04:00,165.54,165.60,165.54,165.57,165.57,79654
2024-04-22 11:39:00-04:00,165.57,165.63,165.57,165.60,165.60,102134
2024-04-22 11:40:00-04:00,165.60,165.68,165.60,165.68,165.68,107304
2024-04-22 11:41:00-04:00,165.68,165.68,165.49,165.51,165.51,106139
2024-04-22 11:42:00-04:00,165.52,165.56,165.50,165.55,165.55,65061
2024-04-22 11:43:00-04:00,165.55,165.59,165.51,165.55,165.55,50023
2024-04-22 11:44:00-04:00,165.54,165.57,165.51,165.54,165.54,68167
2024-04-22 11:45:00-04:00,165.54,165.57,165.52,165.54,165.54,58071
2024-04-22 11:46:00-04:00,165.54,165.55,165.51,165.52,165.52,41072
2024-04-22 11:47:00-04:00,165.53,165.55,165.49,165.54,165.54,56366
2024-04-22 11:48:00-04:00,165.54,165.57,165.52,165.57,165.57,60794
2024-04-22 11:49:00-04:00,165.57,165.57,165.46,165.47,165.47,47011
2024-04-22 11:50:00-04:00,165.46,165.53,165.44,165.46,165.46,78978
2024-04-22 11:51:00-04:00,165.45,165.53,165.44,165.49,165.49,59918
2024-04-22 11:52:00-04:00,165.49,165.55,165.49,165.53,165.53,52061
2024-04-22 11:53:00-04:00,165.54,165.60,165.52,165.60,165.60,79189
2024-04-22 11:54:00-04:00,165.60,165.66,165.60,165.66,165.66,75771
2024-04-22 11:55:00-04:00,165.66,165.70,165.65,165.66,165.66,99541
2024-04-22 11:56:00-04:00,165.66,165.69,165.65,165.66,165.66,78142
2024-04-22 11:57:00-04:00,165.65,165.69,165.62,165.65,165.65,45520
2024-04-22 11:58:00-04:00,165.64,165.69,165.63,165.66,165.66,40719
2024-04-22 11:59:00-04:00,165.65,165.68,165.60,165.65,165.65,46037
2024-04-22 12:00:00-04:00,165.66,165.70,165.63,165.64,165.64,77106
2024-04-22 12:01:00-04:00,165.65,165.66,165.55,165.57,165.57,77638
2024-04-22 12:02:00-04:00,165.58,165.61,165.55,165.58,165.58,44175
2024-04-22 12:03:00-04:00,165.58,165.65,165.52,165.59,165.59,89393
2024-04-22 12:04:00-04:00,165.59,165.64,165.58,165.61,165.61,74538
2024-04-22 12:05:00-04:00,165.61,165.68,165.61,165.63,165.63,92650
2024-04-22 12:06:00-04:00,165.63,165.68,165.63,165.65,165.65,63581
2024-04-22 12:07:00-04:00,165.65,165.68,165.58,165.58,165.58,60559
2024-04-22 12:08:00-04:00,165.57,165.61,165.55,165.57,165.57,55687
