Datetime,Open,High,Low,Close,Adj Close,Volume
2024-04-29 09:30:00-04:00,173.40,173.40,173.40,173.40,173.40,3151591
2024-04-29 09:31:00-04:00,173.40,173.80,173.23,173.73,173.73,446524
2024-04-29 09:32:00-04:00,173.73,174.14,173.66,174.10,174.10,689620
2024-04-29 09:33:00-04:00,174.11,174.36,174.00,174.18,174.18,559550
2024-04-29 09:34:00-04:00,174.18,174.65,174.10,174.59,174.59,888696
2024-04-29 09:35:00-04:00,174.61,174.88,174.45,174.82,174.82,614412
2024-04-29 09:36:00-04:00,174.82,175.18,174.72,175.14,175.14,1009076
2024-04-29 09:37:00-04:00,175.14,175.43,174.96,175.40,175.40,796581
2024-04-29 09:38:00-04:00,175.40,175.45,175.20,175.31,175.31,457685
2024-04-29 09:39:00-04:00,175.30,175.38,175.12,175.30,175.30,402609
2024-04-29 09:40:00-04:00,175.31,175.41,175.05,175.18,175.18,559126
2024-04-29 09:41:00-04:00,175.20,175.44,175.15,175.38,175.38,321301
2024-04-29 09:42:00-04:00,175.40,175.44,175.09,175.25,175.25,529183
2024-04-29 09:43:00-04:00,175.24,175.64,175.24,175.60,175.60,584579
2024-04-29 09:44:00-04:00,175.61,175.81,175.41,175.53,175.53,462742
2024-04-29 09:45:00-04:00,175.54,175.93,175.48,175.88,175.88,429995
2024-04-29 09:46:00-04:00,175.88,175.91,175.59,175.65,175.65,465866
2024-04-29 09:47:00-04:00,175.65,175.88,175.52,175.85,175.85,391894
2024-04-29 09:48:00-04:00,175.85,176.03,175.78,175.84,175.84,638266
2024-04-29 09:49:00-04:00,175.84,175.84,175.62,175.79,175.79,278884
2024-04-29 09:50:00-04:00,175.81,175.84,175.62,175.65,175.65,276547
2024-04-29 09:51:00-04:00,175.65,175.80,175.62,175.66,175.66,225988
2024-04-29 09:52:00-04:00,175.65,175.67,175.36,175.58,175.58,502308
2024-04-29 09:53:00-04:00,175.56,175.59,175.38,175.50,175.50,266179
2024-04-29 09:54:00-04:00,175.50,175.50,175.30,175.48,175.48,279407
2024-04-29 09:55:00-04:00,175.48,175.75,175.39,175.52,175.52,350855
2024-04-29 09:56:00-04:00,175.53,175.63,175.42,175.52,175.52,223862
2024-04-29 09:57:00-04:00,175.52,175.59,175.20,175.33,175.33,267326
2024-04-29 09:58:00-04:00,175.34,175.37,175.26,175.32,175.32,215033
2024-04-29 09:59:00-04:00,175.31,175.38,175.15,175.18,175.18,250354
2024-04-29 10:00:00-04:00,175.20,175.55,175.18,175.43,175.43,309096
2024-04-29 10:01:00-04:00,175.43,175.65,175.38,175.50,175.50,227449
2024-04-29 10:02:00-04:00,175.51,175.66,175.49,175.58,175.58,195717
2024-04-29 10:03:00-04:00,175.58,175.67,175.53,175.55,175.55,153357
2024-04-29 10:04:00-04:00,175.57,175.72,175.57,175.65,175.65,209635
2024-04-29 10:05:00-04:00,175.63,175.77,175.61,175.71,175.71,189116
2024-04-29 10:06:00-04:00,175.72,175.83,175.69,175.74,175.74,208377
2024-04-29 10:07:00-04:00,175.73,175.81,175.58,175.60,175.60,167855
2024-04-29 10:08:00-04:00,175.60,175.71,175.59,175.64,175.64,105624
2024-04-29 10:09:00-04:00,175.65,175.80,175.63,175.78,175.78,167256
2024-04-29 10:10:00-04:00,175.79,175.87,175.75,175.81,175.81,218022
2024-04-29 10:11:00-04:00,175.80,175.99,175.79,175.86,175.86,215020
2024-04-29 10:12:00-04:00,175.87,175.88,175.61,175.62,175.62,338536
2024-04-29 10:13:00-04:00,175.61,175.72,175.44,175.48,175.48,315878
2024-04-29 10:14:00-04:00,175.45,175.50,175.27,175.27,175.27,296977
2024-04-29 10:15:00-04:00,175.28,175.40,175.20,175.22,175.22,190720
2024-04-29 10:16:00-04:00,175.22,175.26,175.02,175.05,175.05,234332
2024-04-29 10:17:00-04:00,175.05,175.11,174.92,174.95,174.95,297343
2024-04-29 10:18:00-04:00,174.95,175.02,174.83,174.84,174.84,226172
2024-04-29 10:19:00-04:00,174.84,174.95,174.82,174.91,174.91,181446
2024-04-29 10:20:00-04:00,174.91,174.97,174.84,174.92,174.92,141908
2024-04-29 10:21:00-04:00,174.91,174.95,174.84,174.94,174.94,157904
2024-04-29 10:22:00-04:00,174.93,174.99,174.91,174.96,174.96,141548
2024-04-29 10:23:00-04:00,174.97,175.06,174.83,174.86,174.86,190251
2024-04-29 10:24:00-04:00,174.87,174.91,174.62,174.70,174.70,191561
2024-04-29 10:25:00-04:00,174.70,174.80,174.62,174.72,174.72,144489
2024-04-29 10:26:00-04:00,174.77,174.79,174.61,174.72,174.72,132406
2024-04-29 10:27:00-04:00,174.73,174.73,174.52,174.52,174.52,124273
2024-04-29 10:28:00-04:00,174.53,174.69,174.51,174.63,174.63,204118
2024-04-29 10:29:00-04:00,174.65,174.79,174.60,174.76,174.76,97505
2024-04-29 10:30:00-04:00,174.75,174.76,174.61,174.64,174.64,127207
2024-04-29 10:31:00-04:00,174.65,174.88,174.65,174.72,174.72,120146
2024-04-29 10:32:00-04:00,174.72,174.91,174.70,174.89,174.89,96549
2024-04-29 10:33:00-04:00,174.91,174.99,174.86,174.99,174.99,99019
2024-04-29 10:34:00-04:00,174.99,175.05,174.95,174.96,174.96,156137
2024-04-29 10:35:00-04:00,174.96,174.96,174.79,174.79,174.79,134955
2024-04-29 10:36:00-04:00,174.80,174.87,174.76,174.82,174.82,111638
2024-04-29 10:37:00-04:00,174.82,174.89,174.77,174.80,174.80,98149
2024-04-29 10:38:00-04:00,174.79,174.82,174.60,174.63,174.63,160969
2024-04-29 10:39:00-04:00,174.63,174.64,174.51,174.52,174.52,149909
2024-04-29 10:41:00-04:00,174.53,174.66,174.50,174.50,174.50,396194
2024-04-29 10:42:00-04:00,174.52,174.53,174.39,174.49,174.49,155132
2024-04-29 10:43:00-04:00,174.49,174.63,174.46,174.61,174.61,140990
2024-04-29 10:44:00-04:00,174.61,174.81,174.61,174.69,174.69,138475
2024-04-29 10:45:00-04:00,174.70,174.77,174.67,174.69,174.69,108687
2024-04-29 10:46:00-04:00,174.70,174.75,174.64,174.73,174.73,80655
2024-04-29 10:47:00-04:00,174.73,174.81,174.69,174.79,174.79,111219
2024-04-29 10:48:00-04:00,174.79,174.88,174.69,174.74,174.74,157498
2024-04-29 10:49:00-04:00,174.75,174.80,174.71,174.79,174.79,113888
2024-04-29 10:50:00-04:00,174.79,174.85,174.70,174.74,174.74,148252
2024-04-29 10:51:00-04:00,174.74,174.84,174.73,174.75,174.75,121964
2024-04-29 10:52:00-04:00,174.75,174.88,174.73,174.84,174.84,127693
2024-04-29 10:53:00-04:00,174.84,174.96,174.84,174.96,174.96,95095
2024-04-29 10:54:00-04:00,174.95,174.97,174.86,174.96,174.96,89507
2024-04-29 10:55:00-04:00,174.96,174.99,174.94,174.96,174.96,93656
2024-04-29 10:56:00-04:00,174.96,175.07,174.96,175.01,175.01,190128
2024-04-29 10:57:00-04:00,175.01,175.02,174.97,174.99,174.99,123114
2024-04-29 10:58:00-04:00,174.98,175.00,174.85,174.87,174.87,120068
2024-04-29 10:59:00-04:00,174.87,174.93,174.80,174.86,174.86,89220
2024-04-29 11:00:00-04:00,174.87,175.04,174.85,175.01,175.01,137375
2024-04-29 11:01:00-04:00,175.01,175.04,174.94,174.96,174.96,89654
2024-04-29 11:02:00-04:00,174.96,175.07,174.92,175.03,175.03,138132
2024-04-29 11:03:00-04:00,175.02,175.04,174.99,175.00,175.00,86278
2024-04-29 11:04:00-04:00,175.01,175.02,174.93,175.01,175.01,121421
2024-04-29 11:05:00-04:00,175.01,175.07,175.00,175.04,175.04,117002
2024-04-29 11:06:00-04:00,175.04,175.13,175.02,175.05,175.05,136489
2024-04-29 11:07:00-04:00,175.05,175.05,174.99,175.01,175.01,105343
2024-04-29 11:08:00-04:00,175.01,175.02,174.92,174.96,174.96,149552
2024-04-29 11:09:00-04:00,174.96,174.96,174.76,174.77,174.77,114935
2024-04-29 11:10:00-04:00,174.77,174.84,174.68,174.68,174.68,96051
2024-04-29 11:11:00-04:00,174.68,174.68,174.57,174.60,174.60,101402
2024-04-29 11:12:00-04:00,174.60,174.60,174.43,174.46,174.46,110867
2024-04-29 11:13:00-04:00,174.45,174.61,174.44,174.60,174.60,127116
2024-04-29 11:14:00-04:00,174.61,174.65,174.45,174.46,174.46,118860
2024-04-29 11:15:00-04:00,174.46,174.48,174.36,174.44,174.44,102172
2024-04-29 11:16:00-04:00,174.43,174.45,174.25,174.26,174.26,133027
2024-04-29 11:17:00-04:00,174.26,174.30,174.13,174.14,174.14,152179
2024-04-29 11:18:00-04:00,174.13,174.18,173.98,174.01,174.01,292317
2024-04-29 11:19:00-04:00,174.01,174.18,173.99,174.16,174.16,145670
2024-04-29 11:20:00-04:00,174.15,174.24,174.15,174.21,174.21,115103
2024-04-29 11:21:00-04:00,174.21,174.28,174.15,174.25,174.25,151403
2024-04-29 11:22:00-04:00,174.25,174.34,174.22,174.33,174.33,111559
2024-04-29 11:23:00-04:00,174.32,174.56,174.32,174.51,174.51,210241
2024-04-29 11:24:00-04:00,174.51,174.64,174.50,174.63,174.63,150941
2024-04-29 11:25:00-04:00,174.63,174.69,174.62,174.62,174.62,82291
2024-04-29 11:26:00-04:00,174.57,174.57,174.50,174.54,174.54,242445
2024-04-29 11:27:00-04:00,174.54,174.54,174.39,174.44,174.44,114063
2024-04-29 11:28:00-04:00,174.44,174.61,174.43,174.56,174.56,116045
2024-04-29 11:29:00-04:00,174.55,174.56,174.47,174.51,174.51,104277
2024-04-29 11:30:00-04:00,174.52,174.57,174.49,174.51,174.51,104992
2024-04-29 11:31:00-04:00,174.50,174.63,174.49,174.50,174.50,186090
2024-04-29 11:32:00-04:00,174.50,174.52,174.33,174.38,174.38,152118
2024-04-29 11:33:00-04:00,174.37,174.38,174.23,174.26,174.26,137368
2024-04-29 11:34:00-04:00,174.26,174.30,174.18,174.30,174.30,116346
2024-04-29 11:35:00-04:00,174.29,174.34,174.23,174.24,174.24,101999
2024-04-29 11:36:00-04:00,174.24,174.29,174.19,174.21,174.21,122477
2024-04-29 11:37:00-04:00,174.21,174.24,174.15,174.15,174.15,70589
2024-04-29 11:38:00-04:00,174.15,174.22,174.10,174.16,174.16,101321
2024-04-29 11:39:00-04:00,174.17,174.18,174.13,174.14,174.14,32874
2024-04-29 11:40:00-04:00,174.08,174.09,174.01,174.02,174.02,161589
2024-04-29 11:41:00-04:00,174.03,174.12,174.01,174.10,174.10,154549
2024-04-29 11:42:00-04:00,174.11,174.20,174.11,174.15,174.15,158191
2024-04-29 11:43:00-04:00,174.16,174.46,174.16,174.40,174.40,141661
2024-04-29 11:44:00-04:00,174.40,174.46,174.35,174.45,174.45,114039
2024-04-29 11:45:00-04:00,174.45,174.50,174.35,174.45,174.45,103641
2024-04-29 11:46:00-04:00,174.45,174.45,174.21,174.32,174.32,217812
2024-04-29 11:47:00-04:00,174.31,174.35,174.27,174.30,174.30,79563
2024-04-29 11:48:00-04:00,174.30,174.38,174.23,174.37,174.37,61151
2024-04-29 11:49:00-04:00,174.38,174.46,174.37,174.44,174.44,108159
2024-04-29 11:50:00-04:00,174.44,174.51,174.41,174.45,174.45,111458
2024-04-29 11:51:00-04:00,174.44,174.54,174.44,174.51,174.51,90983
2024-04-29 11:52:00-04:00,174.51,174.54,174.43,174.46,174.46,60910
2024-04-29 11:53:00-04:00,174.47,174.54,174.45,174.51,174.51,74243
2024-04-29 11:54:00-04:00,174.48,174.49,174.40,174.40,174.40,96077
2024-04-29 11:55:00-04:00,174.41,174.49,174.36,174.49,174.49,77703
2024-04-29 11:56:00-04:00,174.48,174.52,174.47,174.50,174.50,75821
2024-04-29 11:57:00-04:00,174.51,174.60,174.50,174.60,174.60,127176
2024-04-29 11:58:00-04:00,174.60,174.71,174.60,174.66,174.66,233113
2024-04-29 11:59:00-04:00,174.65,174.70,174.65,174.67,174.67,88956
2024-04-29 12:00:00-04:00,174.68,174.74,174.65,174.68,174.68,140328
2024-04-29 12:01:00-04:00,174.68,174.68,174.54,174.65,174.65,142461
2024-04-29 12:02:00-04:00,174.65,174.66,174.56,174.60,174.60,71712
2024-04-29 12:03:00-04:00,174.60,174.62,174.54,174.62,174.62,67353
2024-04-29 12:04:00-04:00,174.62,174.67,174.61,174.66,174.66,54538
2024-04-29 12:05:00-04:00,174.65,174.68,174.61,174.66,174.66,71545
2024-04-29 12:06:00-04:00,174.66,174.75,174.65,174.74,174.74,100209
2024-04-29 12:07:00-04:00,174.74,174.82,174.72,174.73,174.73,96673
2024-04-29 12:08:00-04:00,174.73,174.76,174.62,174.63,174.63,100021
2024-04-29 12:09:00-04:00,174.64,174.67,174.57,174.58,174.58,54161
2024-04-29 12:10:00-04:00,174.59,174.61,174.53,174.60,174.60,80137
2024-04-29 12:11:00-04:00,174.60,174.63,174.57,174.58,174.58,56471
2024-04-29 12:12:00-04:00,174.58,174.59,174.43,174.44,174.44,78406
2024-04-29 12:13:00-04:00,174.45,174.47,174.39,174.40,174.40,66651
2024-04-29 12:14:00-04:00,174.40,174.49,174.38,174.49,174.49,56189
2024-04-29 12:15:00-04:00,174.48,174.53,174.47,174.52,174.52,52536
