Datetime,Open,High,Low,Close,Adj Close,Volume
2024-05-06 09:30:00-04:00,182.77,182.79,182.25,182.77,182.77,3671141
2024-05-06 09:31:00-04:00,182.76,183.41,182.25,183.39,183.39,649941
2024-05-06 09:32:00-04:00,183.38,183.93,183.32,183.79,183.79,480362
2024-05-06 09:33:00-04:00,183.78,184.17,183.77,183.99,183.99,485595
2024-05-06 09:34:00-04:00,183.97,184.02,183.17,183.32,183.32,460679
2024-05-06 09:35:00-04:00,183.32,183.80,183.27,183.34,183.34,461999
2024-05-06 09:36:00-04:00,183.33,183.45,183.12,183.26,183.26,349725
2024-05-06 09:37:00-04:00,183.24,183.70,183.15,183.51,183.51,393031
2024-05-06 09:38:00-04:00,183.51,183.81,183.47,183.72,183.72,334845
2024-05-06 09:39:00-04:00,183.72,183.72,183.21,183.24,183.24,364562
2024-05-06 09:40:00-04:00,183.28,183.34,182.79,182.97,182.97,373722
2024-05-06 09:41:00-04:00,182.97,182.98,182.53,182.68,182.68,359908
2024-05-06 09:42:00-04:00,182.70,182.70,182.28,182.29,182.29,384224
2024-05-06 09:43:00-04:00,182.29,182.47,182.25,182.38,182.38,350130
2024-05-06 09:44:00-04:00,182.38,182.57,182.25,182.33,182.33,341510
2024-05-06 09:45:00-04:00,182.34,182.36,182.01,182.12,182.12,375856
2024-05-06 09:46:00-04:00,182.10,182.58,182.08,182.52,182.52,392485
2024-05-06 09:47:00-04:00,182.50,182.64,182.28,182.40,182.40,381763
2024-05-06 09:48:00-04:00,182.41,182.42,182.24,182.27,182.27,225399
2024-05-06 09:49:00-04:00,182.27,182.49,182.27,182.34,182.34,210433
2024-05-06 09:50:00-04:00,182.35,182.35,182.15,182.20,182.20,392795
2024-05-06 09:51:00-04:00,182.18,182.43,182.16,182.39,182.39,236156
2024-05-06 09:52:00-04:00,182.38,182.50,182.08,182.09,182.09,400899
2024-05-06 09:53:00-04:00,182.11,182.20,181.71,181.74,181.74,506362
2024-05-06 09:54:00-04:00,181.75,181.90,181.67,181.71,181.71,294414
2024-05-06 09:55:00-04:00,181.71,181.95,181.63,181.88,181.88,227578
2024-05-06 09:56:00-04:00,181.89,181.91,181.78,181.83,181.83,334398
2024-05-06 09:57:00-04:00,181.85,182.20,181.83,182.16,182.16,526070
2024-05-06 09:58:00-04:00,182.18,182.40,182.18,182.32,182.32,416928
2024-05-06 09:59:00-04:00,182.33,182.48,182.29,182.47,182.47,293415
2024-05-06 10:00:00-04:00,182.48,182.53,182.25,182.53,182.53,274815
2024-05-06 10:01:00-04:00,182.52,182.58,182.46,182.50,182.50,204420
2024-05-06 10:02:00-04:00,182.50,182.53,182.26,182.37,182.37,234160
2024-05-06 10:03:00-04:00,182.37,182.48,182.25,182.46,182.46,342416
2024-05-06 10:04:00-04:00,182.46,182.78,182.46,182.76,182.76,333521
2024-05-06 10:05:00-04:00,182.76,182.95,182.71,182.90,182.90,299059
2024-05-06 10:06:00-04:00,182.89,183.09,182.89,182.93,182.93,368582
2024-05-06 10:07:00-04:00,182.95,182.95,182.70,182.76,182.76,301573
2024-05-06 10:08:00-04:00,182.76,182.81,182.59,182.64,182.64,296102
2024-05-06 10:09:00-04:00,182.65,182.73,182.50,182.66,182.66,287254
2024-05-06 10:10:00-04:00,182.66,182.66,182.28,182.45,182.45,233683
2024-05-06 10:11:00-04:00,182.47,182.72,182.46,182.70,182.70,285231
2024-05-06 10:12:00-04:00,182.69,182.75,182.60,182.67,182.67,158597
2024-05-06 10:13:00-04:00,182.68,182.90,182.68,182.72,182.72,259525
2024-05-06 10:14:00-04:00,182.71,182.74,182.45,182.60,182.60,273473
2024-05-06 10:15:00-04:00,182.62,182.88,182.60,182.71,182.71,183322
2024-05-06 10:16:00-04:00,182.73,182.79,182.54,182.55,182.55,172977
2024-05-06 10:17:00-04:00,182.55,182.59,182.30,182.34,182.34,203203
2024-05-06 10:18:00-04:00,182.34,182.34,182.16,182.24,182.24,249162
2024-05-06 10:19:00-04:00,182.22,182.23,182.04,182.05,182.05,150218
2024-05-06 10:20:00-04:00,182.05,182.09,181.89,182.08,182.08,323679
2024-05-06 10:21:00-04:00,182.08,182.18,182.03,182.09,182.09,208349
2024-05-06 10:22:00-04:00,182.08,182.27,182.04,182.26,182.26,189551
2024-05-06 10:23:00-04:00,182.26,182.29,182.09,182.09,182.09,163108
2024-05-06 10:24:00-04:00,182.08,182.14,182.01,182.02,182.02,156547
2024-05-06 10:25:00-04:00,182.02,182.30,182.02,182.30,182.30,164926
2024-05-06 10:26:00-04:00,182.29,182.55,182.29,182.50,182.50,221926
2024-05-06 10:27:00-04:00,182.49,182.63,182.48,182.51,182.51,179189
2024-05-06 10:28:00-04:00,182.51,182.65,182.46,182.62,182.62,103173
2024-05-06 10:35:00-04:00,182.87,182.96,182.79,182.90,182.90,1163812
2024-05-06 10:36:00-04:00,182.90,182.96,182.75,182.77,182.77,128746
2024-05-06 10:37:00-04:00,182.77,182.77,182.63,182.65,182.65,117418
2024-05-06 10:38:00-04:00,182.64,182.65,182.50,182.60,182.60,166578
2024-05-06 10:39:00-04:00,182.59,182.60,182.54,182.59,182.59,83534
2024-05-06 10:40:00-04:00,182.59,182.70,182.53,182.54,182.54,161080
2024-05-06 10:41:00-04:00,182.54,182.69,182.54,182.65,182.65,93690
2024-05-06 10:42:00-04:00,182.65,182.76,182.61,182.76,182.76,123953
2024-05-06 10:43:00-04:00,182.76,182.84,182.71,182.77,182.77,125604
2024-05-06 10:44:00-04:00,182.77,182.82,182.63,182.66,182.66,102666
2024-05-06 10:45:00-04:00,182.66,182.66,182.50,182.54,182.54,110672
2024-05-06 10:46:00-04:00,182.55,182.68,182.55,182.61,182.61,168047
2024-05-06 10:47:00-04:00,182.60,182.65,182.56,182.56,182.56,102410
2024-05-06 10:48:00-04:00,182.57,182.57,182.50,182.55,182.55,118605
2024-05-06 10:49:00-04:00,182.54,182.62,182.50,182.53,182.53,145422
2024-05-06 10:50:00-04:00,182.53,182.62,182.50,182.61,182.61,105257
2024-05-06 10:51:00-04:00,182.61,182.63,182.50,182.52,182.52,128053
2024-05-06 10:52:00-04:00,182.51,182.59,182.49,182.53,182.53,192841
2024-05-06 10:53:00-04:00,182.54,182.58,182.50,182.53,182.53,130799
2024-05-06 10:54:00-04:00,182.54,182.56,182.44,182.45,182.45,207220
2024-05-06 10:55:00-04:00,182.45,182.47,182.31,182.34,182.34,173950
2024-05-06 10:56:00-04:00,182.35,182.35,182.27,182.32,182.32,107601
2024-05-06 10:57:00-04:00,182.33,182.47,182.32,182.46,182.46,167547
2024-05-06 10:58:00-04:00,182.47,182.50,182.36,182.39,182.39,114989
2024-05-06 10:59:00-04:00,182.40,182.45,182.35,182.39,182.39,93873
2024-05-06 11:00:00-04:00,182.38,182.38,182.10,182.12,182.12,185211
2024-05-06 11:01:00-04:00,182.11,182.12,181.96,181.98,181.98,180073
2024-05-06 11:02:00-04:00,181.98,182.03,181.93,181.99,181.99,138569
2024-05-06 11:03:00-04:00,181.99,182.09,181.98,182.04,182.04,160720
2024-05-06 11:04:00-04:00,182.03,182.07,181.91,181.91,181.91,108158
2024-05-06 11:05:00-04:00,181.91,182.02,181.87,182.02,182.02,118667
2024-05-06 11:06:00-04:00,182.02,182.07,181.99,182.01,182.01,93616
2024-05-06 11:07:00-04:00,182.01,182.16,182.01,182.13,182.13,137928
2024-05-06 11:08:00-04:00,182.13,182.13,182.00,182.02,182.02,92285
2024-05-06 11:09:00-04:00,182.02,182.05,181.90,181.95,181.95,133629
2024-05-06 11:10:00-04:00,181.95,182.04,181.91,182.03,182.03,131081
2024-05-06 11:11:00-04:00,182.05,182.08,181.93,181.94,181.94,167371
2024-05-06 11:12:00-04:00,181.94,181.99,181.92,181.99,181.99,126734
2024-05-06 11:13:00-04:00,182.00,182.04,181.90,181.90,181.90,151246
2024-05-06 11:14:00-04:00,181.90,181.98,181.80,181.96,181.96,149617
2024-05-06 11:15:00-04:00,181.96,181.98,181.90,181.92,181.92,91846
2024-05-06 11:16:00-04:00,181.93,182.09,181.90,182.06,182.06,115741
2024-05-06 11:17:00-04:00,182.05,182.09,181.95,181.97,181.97,123209
2024-05-06 11:18:00-04:00,181.97,183.38,181.92,181.93,181.93,98479
2024-05-06 11:19:00-04:00,181.93,181.99,181.92,181.99,181.99,87255
2024-05-06 11:20:00-04:00,181.98,181.99,181.88,181.94,181.94,111142
2024-05-06 11:21:00-04:00,181.95,182.02,181.92,181.95,181.95,105894
2024-05-06 11:22:00-04:00,181.95,182.03,181.88,181.89,181.89,150053
2024-05-06 11:23:00-04:00,181.89,181.97,181.88,181.97,181.97,120771
2024-05-06 11:24:00-04:00,181.96,182.00,181.89,181.96,181.96,88383
2024-05-06 11:25:00-04:00,181.96,182.05,181.92,181.93,181.93,122544
2024-05-06 11:26:00-04:00,181.93,181.93,181.77,181.78,181.78,165034
2024-05-06 11:27:00-04:00,181.78,181.84,181.73,181.83,181.83,145175
2024-05-06 11:28:00-04:00,181.82,181.97,181.82,181.93,181.93,110899
2024-05-06 11:29:00-04:00,181.93,182.09,181.93,182.00,182.00,188695
2024-05-06 11:30:00-04:00,182.01,182.16,182.00,182.10,182.10,160524
2024-05-06 11:31:00-04:00,182.10,182.14,182.06,182.06,182.06,118688
2024-05-06 11:32:00-04:00,182.05,182.10,181.99,182.02,182.02,107031
2024-05-06 11:33:00-04:00,182.03,182.04,181.71,181.71,181.71,179881
2024-05-06 11:34:00-04:00,181.71,181.87,181.69,181.80,181.80,170170
2024-05-06 11:35:00-04:00,181.81,181.98,181.79,181.97,181.97,116484
2024-05-06 11:36:00-04:00,181.97,181.99,181.89,181.97,181.97,141102
2024-05-06 11:37:00-04:00,181.98,182.05,181.96,182.05,182.05,122174
2024-05-06 11:38:00-04:00,182.05,182.31,182.04,182.31,182.31,341066
2024-05-06 11:39:00-04:00,182.30,182.31,182.01,182.02,182.02,135761
2024-05-06 11:40:00-04:00,182.04,182.20,182.02,182.11,182.11,87524
2024-05-06 11:41:00-04:00,182.11,182.16,182.07,182.08,182.08,60667
2024-05-06 11:42:00-04:00,182.08,182.11,181.98,182.08,182.08,102215
2024-05-06 11:43:00-04:00,182.07,182.26,182.05,182.25,182.25,110288
2024-05-06 11:44:00-04:00,182.25,182.28,182.18,182.27,182.27,93906
2024-05-06 11:45:00-04:00,182.26,182.27,182.16,182.16,182.16,91872
2024-05-06 11:46:00-04:00,182.18,182.35,182.18,182.32,182.32,84259
2024-05-06 11:47:00-04:00,182.32,182.32,182.20,182.21,182.21,82632
2024-05-06 11:48:00-04:00,182.20,182.21,182.10,182.13,182.13,100176
2024-05-06 11:49:00-04:00,182.13,182.17,182.07,182.15,182.15,73762
2024-05-06 11:50:00-04:00,182.16,182.17,182.10,182.12,182.12,67773
2024-05-06 11:51:00-04:00,182.13,182.26,182.13,182.21,182.21,84631
2024-05-06 11:52:00-04:00,182.22,182.27,182.15,182.15,182.15,74720
2024-05-06 11:53:00-04:00,182.17,182.23,182.16,182.21,182.21,72047
2024-05-06 11:54:00-04:00,182.21,182.21,182.10,182.12,182.12,82149
2024-05-06 11:55:00-04:00,182.13,182.24,182.11,182.23,182.23,72685
2024-05-06 11:56:00-04:00,182.24,182.24,182.16,182.18,182.18,54243
2024-05-06 11:57:00-04:00,182.18,182.35,182.18,182.30,182.30,115774
2024-05-06 11:58:00-04:00,182.30,182.37,182.26,182.33,182.33,88801
2024-05-06 11:59:00-04:00,182.33,182.40,182.31,182.32,182.32,106262
2024-05-06 12:00:00-04:00,182.32,182.32,182.16,182.25,182.25,101807
2024-05-06 12:01:00-04:00,182.23,182.26,182.16,182.26,182.26,75261
2024-05-06 12:02:00-04:00,182.26,182.38,182.18,182.24,182.24,117727
2024-05-06 12:03:00-04:00,182.25,182.34,182.24,182.28,182.28,99152
2024-05-06 12:04:00-04:00,182.27,182.33,182.17,182.19,182.19,71913
2024-05-06 12:05:00-04:00,182.19,182.27,182.13,182.26,182.26,73878
2024-05-06 12:06:00-04:00,182.22,182.23,182.09,182.10,182.10,118344
2024-05-06 12:07:00-04:00,182.10,182.13,182.02,182.05,182.05,98123
2024-05-06 12:08:00-04:00,182.06,182.12,181.96,181.98,181.98,201566
2024-05-06 12:09:00-04:00,181.99,182.00,181.81,181.84,181.84,160502
2024-05-06 12:10:00-04:00,181.84,181.88,181.81,181.84,181.84,103528
2024-05-06 12:12:00-04:00,181.82,181.85,181.72,181.74,181.74,221524
2024-05-06 12:13:00-04:00,181.74,181.74,181.66,181.71,181.71,122035
2024-05-06 12:14:00-04:00,181.71,181.71,181.58,181.65,181.65,151037
2024-05-06 12:15:00-04:00,181.65,181.82,181.65,181.72,181.72,140588
2024-05-06 12:16:00-04:00,181.72,181.75,181.70,181.72,181.72,73777
2024-05-06 12:17:00-04:00,181.73,181.73,181.61,181.63,181.63,1086398
2024-05-06 12:18:00-04:00,181.63,181.68,181.60,181.68,181.68,96228
2024-05-06 12:19:00-04:00,181.68,181.73,181.62,181.64,181.64,113292
2024-05-06 12:20:00-04:00,181.63,181.66,181.55,181.56,181.56,111083
2024-05-06 12:21:00-04:00,181.55,181.68,181.50,181.65,181.65,165663
2024-05-06 12:22:00-04:00,181.65,181.72,181.63,181.72,181.72,82344
2024-05-06 12:23:00-04:00,181.71,181.78,181.69,181.70,181.70,87859
2024-05-06 12:24:00-04:00,181.70,181.84,181.68,181.84,181.84,108389
2024-05-06 12:25:00-04:00,181.84,181.94,181.76,181.90,181.90,89888
2024-05-06 12:26:00-04:00,181.90,181.90,181.83,181.86,181.86,78919
2024-05-06 12:27:00-04:00,181.84,181.84,181.77,181.81,181.81,76042
2024-05-06 12:28:00-04:00,181.81,181.83,181.74,181.75,181.75,55798
2024-05-06 12:29:00-04:00,181.74,181.77,181.58,181.60,181.60,161848
2024-05-06 12:30:00-04:00,181.60,181.65,181.54,181.57,181.57,70667
2024-05-06 12:31:00-04:00,181.57,181.67,181.56,181.66,181.66,68816
2024-05-06 12:32:00-04:00,181.66,181.69,181.57,181.62,181.62,70321
2024-05-06 12:33:00-04:00,181.63,181.64,181.45,181.62,181.62,1187518
2024-05-06 12:34:00-04:00,181.62,181.71,181.61,181.70,181.70,100576
2024-05-06 12:35:00-04:00,181.71,181.77,181.69,181.74,181.74,0
2024-05-06 12:36:00-04:00,181.75,181.83,181.72,181.73,181.73,159341
2024-05-06 12:37:00-04:00,181.73,181.75,181.56,181.58,181.58,93253
2024-05-06 12:38:00-04:00,181.57,181.57,181.50,181.53,181.53,93466
2024-05-06 12:39:00-04:00,181.53,181.64,181.52,181.57,181.57,102707
2024-05-06 12:40:00-04:00,181.56,181.61,181.43,181.45,181.45,111203
2024-05-06 12:41:00-04:00,181.45,181.47,181.35,181.35,181.35,170622
2024-05-06 12:42:00-04:00,181.34,181.44,181.32,181.42,181.42,128151
2024-05-06 12:43:00-04:00,181.44,181.46,181.33,181.33,181.33,150594
2024-05-06 12:44:00-04:00,181.35,181.39,181.28,181.32,181.32,123179
2024-05-06 12:45:00-04:00,181.33,181.46,181.30,181.43,181.43,138331
2024-05-06 12:46:00-04:00,181.43,181.54,181.42,181.54,181.54,111446
2024-05-06 12:47:00-04:00,181.53,181.59,181.43,181.43,181.43,147890
2024-05-06 12:48:00-04:00,181.43,181.56,181.38,181.53,181.53,178008
2024-05-06 12:49:00-04:00,181.52,181.54,181.44,181.45,181.45,64900
2024-05-06 12:50:00-04:00,181.45,181.58,181.45,181.56,181.56,82523
2024-05-06 12:51:00-04:00,181.54,181.57,181.48,181.52,181.52,66833
2024-05-06 12:52:00-04:00,181.51,181.54,181.44,181.46,181.46,86321
