Datetime,Adj Close,Volume,Adj Close(t-1),Volume(t-1),Adj Close(t-2),Volume(t-2),Adj Close(t-3),Volume(t-3),Adj Close(t-4),Volume(t-4),Adj Close(t-5),Volume(t-5),Adj Close(t-6),Volume(t-6),Adj Close(t-7),Volume(t-7)
2024-04-15 09:37:00-04:00,174.58,299159,174.84,464895.0,174.82,701701.0,174.23,347126.0,174.15,499260.0,173.9,590298.0,174.63,566613.0,175.37,2883818.0
2024-04-15 09:38:00-04:00,174.32,310125,174.58,299159.0,174.84,464895.0,174.82,701701.0,174.23,347126.0,174.15,499260.0,173.9,590298.0,174.63,566613.0
2024-04-15 09:39:00-04:00,174.16,333485,174.32,310125.0,174.58,299159.0,174.84,464895.0,174.82,701701.0,174.23,347126.0,174.15,499260.0,173.9,590298.0
2024-04-15 09:40:00-04:00,174.41,289625,174.16,333485.0,174.32,310125.0,174.58,299159.0,174.84,464895.0,174.82,701701.0,174.23,347126.0,174.15,499260.0
2024-04-15 09:41:00-04:00,174.4,404396,174.41,289625.0,174.16,333485.0,174.32,310125.0,174.58,299159.0,174.84,464895.0,174.82,701701.0,174.23,347126.0
2024-04-15 09:42:00-04:00,175.0,283160,174.4,404396.0,174.41,289625.0,174.16,333485.0,174.32,310125.0,174.58,299159.0,174.84,464895.0,174.82,701701.0
2024-04-15 09:43:00-04:00,175.04,237680,175.0,283160.0,174.4,404396.0,174.41,289625.0,174.16,333485.0,174.32,310125.0,174.58,299159.0,174.84,464895.0
2024-04-15 09:44:00-04:00,175.14,179006,175.04,237680.0,175.0,283160.0,174.4,404396.0,174.41,289625.0,174.16,333485.0,174.32,310125.0,174.58,299159.0
2024-04-15 09:45:00-04:00,175.01,277293,175.14,179006.0,175.04,237680.0,175.0,283160.0,174.4,404396.0,174.41,289625.0,174.16,333485.0,174.32,310125.0
2024-04-15 09:46:00-04:00,175.03,226172,175.01,277293.0,175.14,179006.0,175.04,237680.0,175.0,283160.0,174.4,404396.0,174.41,289625.0,174.16,333485.0
2024-04-15 09:47:00-04:00,174.8,193461,175.03,226172.0,175.01,277293.0,175.14,179006.0,175.04,237680.0,175.0,283160.0,174.4,404396.0,174.41,289625.0
2024-04-15 09:48:00-04:00,174.61,241095,174.8,193461.0,175.03,226172.0,175.01,277293.0,175.14,179006.0,175.04,237680.0,175.0,283160.0,174.4,404396.0
2024-04-15 09:49:00-04:00,174.7,205068,174.61,241095.0,174.8,193461.0,175.03,226172.0,175.01,277293.0,175.14,179006.0,175.04,237680.0,175.0,283160.0
